日期,,1号线,2号线,3号线,4号线,5号线,6号线,7号线,8号线,9号线,10号线,11号线,12号线,13号线,16号线,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.3.16,7770398,988013,1204313,452857,570018,133229,308577,620318,767523,646003,633502,657913,384891,245717,157524,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.3.16,10492597,1282672,1607450,593739,894840,162281,445399,863715,1024475,917689,799796,798216,585606,359446,157273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.3.16,10600929,1289095,1637445,595277,904290,161254,448514,897933,1028182,920614,809204,799448,589943,363902,155828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.3.16,10355151,1257124,1622994,579688,887109,154863,440889,865004,1003261,900002,790598,767830,579055,358641,148093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.3.16,10198210,1250849,1592387,572698,866904,153550,434680,838740,986342,885162,782490,759654,572430,355980,146344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.16,11299006,1422772,1770847,640049,946325,181684,471855,886640,1077723,971825,883031,859473,621576,374748,190458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.16,7175044,950698,1125652,412557,534254,127138,267832,509592,717807,603413,620879,596579,349027,225893,133723,清明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4.16,6126406,795846,1000021,349870,440785,98735,222990,425201,627154,510726,544842,506352,294704,199691,109489,清明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4.16,7548001,946543,1239119,455118,512329,141506,264126,542148,709539,627040,637053,719890,357278,224742,171570,清明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4.16,10098402,1245063,1547362,585084,865293,155025,433885,797963,974851,884533,765382,770514,572552,345478,155417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4.16,9453372,1158312,1439769,540364,820343,143237,409454,756476,919237,832879,710021,710139,545332,335473,132336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4.16,9967680,1216367,1525755,565196,861668,149309,431267,796439,973510,874324,759678,746921,572905,353631,140710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4.16,11094103,1377132,1708348,623517,934890,174632,470846,869257,1083524,973019,854121,836203,625051,379663,183900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.4.16,8194551,1063441,1229204,467254,622093,136293,333304,623380,839997,696812,681295,652293,421541,270024,157620,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.4.16,7351075,937182,1119557,437718,554988,116832,295877,553897,757653,608578,604737,607271,368756,234575,153454,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4.16,10474842,1281455,1604170,590652,898307,157556,448225,848047,1021693,920689,801694,789915,592509,362417,157513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.4.16,10155779,1234172,1561339,568863,879657,148767,437347,830241,992241,891282,778724,753950,577908,358447,142841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.4.16,10503869,1276399,1617037,583766,901364,154680,451713,851364,1031217,921627,812512,783399,597344,366336,155111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.4.16,10458107,1272271,1611945,580779,892739,154100,447781,840196,1027296,919983,812609,781421,594683,365664,156640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.4.16,11179990,1372587,1744297,622436,948888,166642,475500,866343,1090448,987613,872749,841862,627898,381204,181523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4.16,7035742,900260,1086939,403476,545701,108147,285651,514728,727339,578639,585605,579567,361072,237059,121559,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
